Filename	n_sentences	n_tokens	tokens_per_sent	char_per_tok	upos_dist_ADJ	upos_dist_ADP	upos_dist_ADV	upos_dist_AUX	upos_dist_CCONJ	upos_dist_DET	upos_dist_NOUN	upos_dist_NUM	upos_dist_PART	upos_dist_PRON	upos_dist_PROPN	upos_dist_PUNCT	upos_dist_SCONJ	upos_dist_SYM	upos_dist_VERB	upos_dist_X	lexical_density	verbs_tense_dist_Fut	verbs_tense_dist_Imp	verbs_tense_dist_Past	verbs_tense_dist_Pres	verbs_mood_dist_Cnd	verbs_mood_dist_Imp	verbs_mood_dist_Ind	verbs_mood_dist_Sub	verbs_form_dist_Fin	verbs_form_dist_Ger	verbs_form_dist_Inf	verbs_form_dist_Part	verbs_num_pers_dist_Plur+1	verbs_num_pers_dist_Plur+2	verbs_num_pers_dist_Plur+3	verbs_num_pers_dist_Sing+2	verbs_num_pers_dist_Sing+3	aux_tense_dist_Fut	aux_tense_dist_Imp	aux_tense_dist_Past	aux_tense_dist_Pres	aux_mood_dist_Cnd	aux_mood_dist_Imp	aux_mood_dist_Ind	aux_mood_dist_Sub	aux_form_dist_Fin	aux_form_dist_Inf	aux_form_dist_Part	aux_num_pers_dist_Plur+1	aux_num_pers_dist_Plur+2	aux_num_pers_dist_Plur+3	aux_num_pers_dist_Sing+1	aux_num_pers_dist_Sing+2	aux_num_pers_dist_Sing+3	verbal_head_per_sent	verbal_root_perc	avg_verb_edges	verb_edges_dist_0	verb_edges_dist_1	verb_edges_dist_2	verb_edges_dist_3	verb_edges_dist_4	verb_edges_dist_5	verb_edges_dist_6	avg_max_depth	avg_token_per_clause	avg_max_links_len	avg_links_len	max_links_len	avg_prepositional_chain_len	n_prepositional_chains	prep_dist_1	prep_dist_2	prep_dist_3	prep_dist_4	obj_pre	obj_post	subj_pre	subj_post	dep_dist_acl	dep_dist_acl:relcl	dep_dist_advcl	dep_dist_advmod	dep_dist_amod	dep_dist_appos	dep_dist_aux	dep_dist_aux:pass	dep_dist_case	dep_dist_cc	dep_dist_ccomp	dep_dist_compound	dep_dist_conj	dep_dist_cop	dep_dist_csubj	dep_dist_det	dep_dist_det:poss	dep_dist_det:predet	dep_dist_expl	dep_dist_expl:impers	dep_dist_expl:pass	dep_dist_fixed	dep_dist_flat	dep_dist_flat:name	dep_dist_iobj	dep_dist_mark	dep_dist_nmod	dep_dist_nsubj	dep_dist_nsubj:pass	dep_dist_nummod	dep_dist_obj	dep_dist_obl	dep_dist_obl:agent	dep_dist_parataxis	dep_dist_punct	dep_dist_root	dep_dist_xcomp	principal_proposition_dist	subordinate_proposition_dist	subordinate_post	subordinate_pre	avg_subordinate_chain_len	subordinate_dist_1	subordinate_dist_2	subordinate_dist_3	subordinate_dist_4
000.conllu	1	41	41.0	3.9210526315789473	0	21.951219512195124	2.4390243902439024	9.75609756097561	0	21.951219512195124	17.073170731707318	2.4390243902439024	0	4.878048780487805	4.878048780487805	7.317073170731708	0	0	7.317073170731708	0	0.34210526315789475	0	0	100.0	0	0	0	0	0	0	0	0	100.0	0	0	0	0	0	0	0	25.0	75.0	0	0	100.0	0	75.0	0	25.0	0	0	66.66666666666667	0	0	33.333333333333336	3.0	100.0	2.6666666666666665	0	0	33.333333333333336	66.66666666666667	0	0	0	7.0	13.666666666666666	22.0	2.5675675675675675	22	1.25	4	75.0	25.0	0	0	0	0	100.0	0.0	0	4.878048780487805	0	0	0	0	7.317073170731708	2.4390243902439024	21.951219512195124	0	0	0	0	0	0	21.951219512195124	0	0	0	0	0	2.4390243902439024	0	0	0	0	12.195121951219512	4.878048780487805	2.4390243902439024	0	0	9.75609756097561	0	0	7.317073170731708	2.4390243902439024	0	33.333333333333336	66.66666666666667	50.0	50.0	1.0	100.0	0	0	0
001.conllu	1	38	38.0	4.228571428571429	2.6315789473684212	26.31578947368421	0	2.6315789473684212	0	23.68421052631579	23.68421052631579	2.6315789473684212	0	0	2.6315789473684212	7.894736842105263	0	0	7.894736842105263	0	0.4	0	0	100.0	0	0	0	0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	100.0	0	0	100.0	0	100.0	0	0	0	0	100.0	0	0	0	3.0	100.0	2.0	0	33.333333333333336	33.333333333333336	33.333333333333336	0	0	0	7.0	12.666666666666666	19.0	2.5588235294117645	19	1.5	4	50.0	50.0	0	0	0	0	100.0	0.0	5.2631578947368425	0	0	0	2.6315789473684212	0	0	2.6315789473684212	26.31578947368421	0	0	0	0	0	0	23.68421052631579	0	0	0	0	0	0	0	0	0	0	15.789473684210526	0	2.6315789473684212	0	0	10.526315789473685	0	0	7.894736842105263	2.6315789473684212	0	33.333333333333336	66.66666666666667	50.0	50.0	1.0	100.0	0	0	0
002.conllu	1	36	36.0	4625	5.555555555555555	19.444444444444443	8.333333333333334	2.7777777777777777	0	19.444444444444443	19.444444444444443	0	0	2.7777777777777777	5.555555555555555	11.11111111111111	0	0	5.555555555555555	0	0.5	0	0	100.0	0	0	0	0	0	0	50.0	0	50.0	0	0	0	0	0	0	100.0	0	0	0	0	100.0	0	100.0	0	0	0	0	100.0	0	0	0	2.0	100.0	0.5	0	100.0	0	0	0	0	0	5.0	18.0	14.0	2.7419354838709675	14	1.3333333333333333	3	66.66666666666667	33.333333333333336	0	0	0.0	100.0	100.0	0.0	0	0	2.7777777777777777	8.333333333333334	2.7777777777777777	2.7777777777777777	0	2.7777777777777777	19.444444444444443	0	0	0	0	0	0	19.444444444444443	0	0	0	0	0	0	0	0	0	0	13.88888888888889	0	2.7777777777777777	0	2.7777777777777777	8.333333333333334	0	0	11.11111111111111	2.7777777777777777	0	50.0	50.0	100.0	0.0	1.0	100.0	0	0	0
003.conllu	1	40	40.0	4.527777777777778	5.0	20.0	7.5	5.0	0	20.0	20.0	0	0	2.5	5.0	10.0	0	0	5.0	0	0.4722222222222222	0	0	100.0	0	0	0	0	0	0	50.0	0	50.0	0	0	0	0	0	0	0	50.0	50.0	0	0	100.0	0	50.0	0	50.0	0	0	100.0	0	0	0	2.0	100.0	0.5	0	100.0	0	0	0	0	0	5.0	20.0	15.0	2.857142857142857	15	1.25	4	75.0	25.0	0	0	0.0	100.0	100.0	0.0	0	0	2.5	7.5	2.5	2.5	2.5	2.5	20.0	0	0	0	0	0	0	20.0	0	0	0	0	0	0	0	0	0	0	15.0	0	2.5	0	2.5	7.5	0	0	10.0	2.5	0	50.0	50.0	100.0	0.0	1.0	100.0	0	0	0
004.conllu	1	21	21.0	4.0	0	19.047619047619047	9.523809523809524	4.761904761904762	0	19.047619047619047	19.047619047619047	4.761904761904762	0	0	4.761904761904762	9.523809523809524	0	0	9.523809523809524	0	0.47368421052631576	0	0	100.0	0	0	0	0	0	0	0	0	100.0	0	0	0	0	0	0	100.0	0	0	0	0	100.0	0	100.0	0	0	0	0	0	0	0	100.0	2.0	100.0	2.5	0	50.0	0	0	50.0	0	0	5.0	10.5	8.0	2.1666666666666665	8	1.0	2	100.0	0	0	0	0.0	100.0	100.0	0.0	4.761904761904762	0	0	4.761904761904762	0	0	4.761904761904762	0	19.047619047619047	0	0	0	0	0	0	19.047619047619047	0	0	0	0	0	4.761904761904762	0	0	0	0	9.523809523809524	4.761904761904762	0	0	4.761904761904762	9.523809523809524	0	0	9.523809523809524	4.761904761904762	0	50.0	50.0	100.0	0.0	1.0	100.0	0	0	0
005.conllu	1	21	21.0	4.315789473684211	0	19.047619047619047	9.523809523809524	4.761904761904762	0	19.047619047619047	19.047619047619047	4.761904761904762	0	0	4.761904761904762	9.523809523809524	0	0	9.523809523809524	0	0.47368421052631576	0	0	100.0	0	0	0	0	0	0	0	0	100.0	0	0	0	0	0	0	100.0	0	0	0	0	100.0	0	100.0	0	0	0	0	0	0	0	100.0	2.0	100.0	2.5	0	50.0	0	0	50.0	0	0	5.0	10.5	8.0	2.1666666666666665	8	1.0	2	100.0	0	0	0	0.0	100.0	100.0	0.0	4.761904761904762	0	0	4.761904761904762	0	0	4.761904761904762	0	19.047619047619047	0	0	0	0	0	0	19.047619047619047	0	0	0	0	0	4.761904761904762	0	0	0	0	9.523809523809524	4.761904761904762	0	0	4.761904761904762	9.523809523809524	0	0	9.523809523809524	4.761904761904762	0	50.0	50.0	100.0	0.0	1.0	100.0	0	0	0
006.conllu	1	37	37.0	4.833333333333333	5.405405405405405	16.216216216216218	0	5.405405405405405	2.7027027027027026	18.91891891891892	18.91891891891892	0	0	5.405405405405405	10.81081081081081	2.7027027027027026	2.7027027027027026	0	10.81081081081081	0	0.4722222222222222	0	0	66.66666666666667	33.333333333333336	0	0	100.0	0	25.0	0	25.0	50.0	0	0	100.0	0	0	0	0	0	100.0	0	0	50.0	50.0	100.0	0	0	0	0	0	0	0	100.0	4.0	100.0	2.75	0	0	75.0	0	0	25.0	0	7.0	9.25	14.0	3.1142857142857143	14	1.3333333333333333	3	66.66666666666667	33.333333333333336	0	0	0.0	100.0	100.0	0.0	0	2.7027027027027026	2.7027027027027026	0	5.405405405405405	0	5.405405405405405	0	13.513513513513514	2.7027027027027026	2.7027027027027026	0	2.7027027027027026	0	0	18.91891891891892	0	0	0	0	0	0	0	2.7027027027027026	0	5.405405405405405	10.81081081081081	8.108108108108109	0	0	8.108108108108109	2.7027027027027026	0	0	2.7027027027027026	2.7027027027027026	0	25.0	75.0	100.0	0.0	3.0	0	0	100.0	0
007.conllu	1	38	38.0	5.513513513513513	7.894736842105263	15.789473684210526	2.6315789473684212	5.2631578947368425	2.6315789473684212	18.42105263157895	26.31578947368421	0	0	2.6315789473684212	2.6315789473684212	2.6315789473684212	2.6315789473684212	0	10.526315789473685	0	0.5135135135135135	0	0	50.0	50.0	0	0	100.0	0	50.0	0	0	50.0	0	0	100.0	0	0	0	0	0	100.0	0	0	50.0	50.0	100.0	0	0	0	0	0	0	0	100.0	4.0	100.0	2.75	0	0	50.0	25.0	25.0	0	0	11.0	9.5	16.0	2.8333333333333335	16	1.6666666666666667	3	66.66666666666667	0	33.333333333333336	0	0.0	100.0	100.0	0.0	0	2.6315789473684212	0	2.6315789473684212	7.894736842105263	0	5.2631578947368425	0	15.789473684210526	2.6315789473684212	2.6315789473684212	0	2.6315789473684212	0	0	18.42105263157895	0	0	0	0	0	0	0	0	0	2.6315789473684212	13.157894736842104	10.526315789473685	0	0	5.2631578947368425	2.6315789473684212	0	0	2.6315789473684212	2.6315789473684212	0	33.333333333333336	66.66666666666667	100.0	0.0	2.0	0	100.0	0	0
008.conllu	1	28	28.0	4.6	0	14.285714285714286	3.5714285714285716	10.714285714285714	0	21.428571428571427	17.857142857142858	0	0	0	10.714285714285714	10.714285714285714	3.5714285714285716	0	7.142857142857143	0	0.44	0	0	100.0	0	0	0	0	0	0	0	0	100.0	0	0	0	0	0	0	33.333333333333336	33.333333333333336	33.333333333333336	0	0	100.0	0	66.66666666666667	0	33.333333333333336	0	0	0	0	0	100.0	2.0	100.0	3.5	0	0	50.0	0	0	50.0	0	4.0	14.0	13.0	2.9583333333333335	13	1.0	3	100.0	0	0	0	0	0	100.0	0.0	0	0	0	3.5714285714285716	0	3.5714285714285716	7.142857142857143	3.5714285714285716	14.285714285714286	0	3.5714285714285716	0	0	0	0	21.428571428571427	0	0	0	0	0	0	0	3.5714285714285716	0	3.5714285714285716	10.714285714285714	3.5714285714285716	3.5714285714285716	0	0	0	3.5714285714285716	0	10.714285714285714	3.5714285714285716	0	50.0	50.0	100.0	0.0	1.0	100.0	0	0	0
009.conllu	1	27	27.0	4.833333333333333	0	14.814814814814815	3.7037037037037037	11.11111111111111	0	14.814814814814815	18.51851851851852	0	0	0	14.814814814814815	11.11111111111111	3.7037037037037037	0	7.407407407407407	0	0.5	0	0	100.0	0	0	0	0	0	0	0	0	100.0	0	0	0	0	0	0	0	33.333333333333336	66.66666666666667	0	0	100.0	0	66.66666666666667	0	33.333333333333336	0	0	0	0	0	100.0	2.0	100.0	3.5	0	0	50.0	0	0	50.0	0	4.0	13.5	13.0	2.9565217391304346	13	1.0	3	100.0	0	0	0	0	0	100.0	0.0	0	0	0	3.7037037037037037	0	3.7037037037037037	7.407407407407407	3.7037037037037037	14.814814814814815	0	3.7037037037037037	0	0	0	0	14.814814814814815	0	0	0	0	0	0	0	7.407407407407407	0	3.7037037037037037	11.11111111111111	3.7037037037037037	3.7037037037037037	0	0	0	3.7037037037037037	0	11.11111111111111	3.7037037037037037	0	50.0	50.0	100.0	0.0	1.0	100.0	0	0	0
