Filename	n_sentences	n_tokens	tokens_per_sent	char_per_tok	upos_dist_ADJ	upos_dist_ADP	upos_dist_ADV	upos_dist_AUX	upos_dist_CCONJ	upos_dist_DET	upos_dist_INTJ	upos_dist_NOUN	upos_dist_NUM	upos_dist_PART	upos_dist_PRON	upos_dist_PROPN	upos_dist_PUNCT	upos_dist_SCONJ	upos_dist_SYM	upos_dist_VERB	upos_dist_X	lexical_density	verbs_tense_dist_Fut	verbs_tense_dist_Imp	verbs_tense_dist_Past	verbs_tense_dist_Pres	verbs_mood_dist_Cnd	verbs_mood_dist_Imp	verbs_mood_dist_Ind	verbs_mood_dist_Sub	verbs_form_dist_Fin	verbs_form_dist_Ger	verbs_form_dist_Inf	verbs_form_dist_Part	verbs_num_pers_dist_Plur+2	verbs_num_pers_dist_Plur+3	verbs_num_pers_dist_Sing+1	verbs_num_pers_dist_Sing+2	verbs_num_pers_dist_Sing+3	aux_tense_dist_Fut	aux_tense_dist_Imp	aux_tense_dist_Past	aux_tense_dist_Pres	aux_mood_dist_Cnd	aux_mood_dist_Imp	aux_mood_dist_Ind	aux_mood_dist_Sub	aux_form_dist_Fin	aux_form_dist_Ger	aux_form_dist_Inf	aux_form_dist_Part	aux_num_pers_dist_Plur+1	aux_num_pers_dist_Plur+2	aux_num_pers_dist_Plur+3	aux_num_pers_dist_Sing+1	aux_num_pers_dist_Sing+2	aux_num_pers_dist_Sing+3	verbal_head_per_sent	verbal_root_perc	avg_verb_edges	verb_edges_dist_0	verb_edges_dist_1	verb_edges_dist_2	verb_edges_dist_3	verb_edges_dist_4	verb_edges_dist_5	verb_edges_dist_6	avg_max_depth	avg_token_per_clause	avg_max_links_len	avg_links_len	max_links_len	avg_prepositional_chain_len	n_prepositional_chains	prep_dist_1	prep_dist_2	prep_dist_3	prep_dist_4	prep_dist_5	obj_pre	obj_post	subj_pre	subj_post	dep_dist_acl	dep_dist_acl:relcl	dep_dist_advcl	dep_dist_advmod	dep_dist_amod	dep_dist_appos	dep_dist_aux	dep_dist_aux:pass	dep_dist_case	dep_dist_cc	dep_dist_ccomp	dep_dist_compound	dep_dist_conj	dep_dist_cop	dep_dist_csubj	dep_dist_det	dep_dist_det:poss	dep_dist_det:predet	dep_dist_expl	dep_dist_expl:impers	dep_dist_expl:pass	dep_dist_fixed	dep_dist_flat	dep_dist_flat:name	dep_dist_iobj	dep_dist_mark	dep_dist_nmod	dep_dist_nsubj	dep_dist_nsubj:pass	dep_dist_nummod	dep_dist_obj	dep_dist_obl	dep_dist_obl:agent	dep_dist_parataxis	dep_dist_punct	dep_dist_root	dep_dist_xcomp	principal_proposition_dist	subordinate_proposition_dist	subordinate_post	subordinate_pre	avg_subordinate_chain_len	subordinate_dist_1	subordinate_dist_2	subordinate_dist_3	subordinate_dist_4
000.conllu	1	38	38.0	4.285714285714286	2.6315789473684212	23.68421052631579	0	7.894736842105263	0	21.05263157894737	0	21.05263157894737	2.6315789473684212	0	0	2.6315789473684212	7.894736842105263	0	0	10.526315789473685	0	0.4	0	0	100.0	0	0	0	0	0	0	0	0	100.0	0	0	0	0	0	0	0	50.0	50.0	0	0	100.0	0	33.333333333333336	0	33.333333333333336	33.333333333333336	0	0	100.0	0	0	0	4.0	100.0	2.0	0	25.0	50.0	25.0	0	0	0	7.0	9.5	20.0	2.5588235294117645	20	1.6666666666666667	3	33.333333333333336	66.66666666666667	0	0	0	0.0	100.0	100.0	0.0	5.2631578947368425	0	0	0	2.6315789473684212	0	5.2631578947368425	2.6315789473684212	21.05263157894737	0	0	0	0	0	0	21.05263157894737	0	0	0	0	0	0	0	0	0	2.6315789473684212	13.157894736842104	0	2.6315789473684212	0	2.6315789473684212	7.894736842105263	0	0	7.894736842105263	2.6315789473684212	2.6315789473684212	25.0	75.0	66.66666666666667	33.333333333333336	1.0	100.0	0	0	0
001.conllu	1	38	38.0	4.314285714285714	0	26.31578947368421	0	2.6315789473684212	0	23.68421052631579	0	23.68421052631579	2.6315789473684212	0	0	5.2631578947368425	7.894736842105263	0	0	7.894736842105263	0	0.4	0	0	100.0	0	0	0	0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	100.0	0	0	100.0	0	100.0	0	0	0	0	0	100.0	0	0	0	3.0	100.0	2.0	0	33.333333333333336	33.333333333333336	33.333333333333336	0	0	0	8.0	12.666666666666666	18.0	2.5	18	1.75	4	25.0	75.0	0	0	0	0	0	100.0	0.0	5.2631578947368425	0	0	0	0	0	0	2.6315789473684212	26.31578947368421	0	0	0	0	0	0	23.68421052631579	0	0	0	0	0	0	0	0	0	0	18.42105263157895	0	2.6315789473684212	0	0	7.894736842105263	0	0	7.894736842105263	2.6315789473684212	2.6315789473684212	33.333333333333336	66.66666666666667	50.0	50.0	1.0	100.0	0	0	0
002.conllu	1	40	40.0	4.583333333333333	5.0	20.0	7.5	5.0	0	20.0	0	20.0	0	0	2.5	5.0	10.0	0	0	5.0	0	0.4722222222222222	0	0	100.0	0	0	0	0	0	0	50.0	0	50.0	0	0	0	0	0	0	0	50.0	50.0	0	0	100.0	0	50.0	0	0	50.0	0	0	100.0	0	0	0	2.0	100.0	0.5	0	100.0	0	0	0	0	0	4.0	20.0	15.0	3.1142857142857143	15	1.5	4	50.0	50.0	0	0	0	0.0	100.0	100.0	0.0	0	0	2.5	7.5	2.5	2.5	2.5	2.5	20.0	0	0	0	0	0	0	20.0	0	0	0	0	0	0	0	0	0	0	17.5	0	2.5	0	2.5	5.0	0	0	10.0	2.5	0	50.0	50.0	100.0	0.0	1.0	100.0	0	0	0
003.conllu	1	42	42.0	5.026315789473684	4.761904761904762	21.428571428571427	7.142857142857143	4.761904761904762	0	19.047619047619047	0	19.047619047619047	0	0	2.380952380952381	4.761904761904762	9.523809523809524	0	0	7.142857142857143	0	0.47368421052631576	0	0	100.0	0	0	0	0	0	0	33.333333333333336	0	66.66666666666667	0	0	0	0	0	0	0	50.0	50.0	0	0	100.0	0	50.0	0	0	50.0	0	0	100.0	0	0	0	3.0	100.0	0.6666666666666666	0	100.0	0	0	0	0	0	4.0	14.0	19.0	3.2162162162162162	19	1.5	4	50.0	50.0	0	0	0	0.0	100.0	100.0	0.0	2.380952380952381	0	2.380952380952381	7.142857142857143	4.761904761904762	0	2.380952380952381	2.380952380952381	21.428571428571427	0	0	0	0	0	0	19.047619047619047	0	0	0	0	0	0	0	0	0	0	14.285714285714286	0	2.380952380952381	0	2.380952380952381	4.761904761904762	2.380952380952381	0	9.523809523809524	2.380952380952381	0	33.333333333333336	66.66666666666667	50.0	50.0	1.0	100.0	0	0	0
004.conllu	1	21	21.0	3.8421052631578947	0	19.047619047619047	14.285714285714286	4.761904761904762	0	19.047619047619047	0	14.285714285714286	4.761904761904762	0	4.761904761904762	4.761904761904762	9.523809523809524	0	0	4.761904761904762	0	0.42105263157894735	0	0	100.0	0	0	0	0	0	0	0	0	100.0	0	0	0	0	0	0	100.0	0	0	0	0	100.0	0	100.0	0	0	0	0	0	0	0	0	100.0	1.0	100.0	0.0	0	0	0	0	0	0	0	3.0	21.0	11.0	2.7222222222222223	11	1.0	1	100.0	0	0	0	0	0	0	100.0	0.0	0	0	0	9.523809523809524	0	0	4.761904761904762	0	19.047619047619047	0	0	0	0	0	0	19.047619047619047	0	0	4.761904761904762	0	0	4.761904761904762	0	0	0	0	4.761904761904762	0	4.761904761904762	0	0	14.285714285714286	0	0	9.523809523809524	4.761904761904762	0	100.0	0.0	0	0	0	0	0	0	0
005.conllu	1	23	23.0	4.238095238095238	0	21.73913043478261	8.695652173913043	8.695652173913043	0	17.391304347826086	0	17.391304347826086	4.3478260869565215	0	0	4.3478260869565215	8.695652173913043	0	0	8.695652173913043	0	0.42857142857142855	0	0	100.0	0	0	0	0	0	0	0	0	100.0	0	0	0	0	0	0	50.0	50.0	0	0	0	100.0	0	50.0	0	0	50.0	0	0	100.0	0	0	0	2.0	100.0	3.0	0	50.0	0	0	0	50.0	0	5.0	11.5	10.0	2.3	10	1.0	2	100.0	0	0	0	0	0	0	0.0	100.0	4.3478260869565215	0	0	4.3478260869565215	0	0	4.3478260869565215	4.3478260869565215	21.73913043478261	0	0	0	0	0	0	17.391304347826086	0	0	0	0	0	4.3478260869565215	0	0	0	0	8.695652173913043	0	4.3478260869565215	0	0	13.043478260869565	0	0	8.695652173913043	4.3478260869565215	0	50.0	50.0	100.0	0.0	1.0	100.0	0	0	0
006.conllu	1	35	35.0	5.147058823529412	2.857142857142857	14.285714285714286	2.857142857142857	5.714285714285714	2.857142857142857	20.0	0	20.0	0	0	2.857142857142857	11.428571428571429	2.857142857142857	2.857142857142857	0	11.428571428571429	0	0.5	0	0	50.0	50.0	0	0	100.0	0	50.0	0	0	50.0	0	100.0	0	0	0	0	0	0	100.0	0	0	50.0	50.0	100.0	0	0	0	0	0	50.0	0	0	50.0	4.0	100.0	2.5	0	25.0	25.0	25.0	25.0	0	0	8.0	8.75	15.0	3.090909090909091	15	1.3333333333333333	3	66.66666666666667	33.333333333333336	0	0	0	0.0	100.0	100.0	0.0	0	2.857142857142857	0	2.857142857142857	2.857142857142857	0	5.714285714285714	0	14.285714285714286	2.857142857142857	2.857142857142857	0	5.714285714285714	0	0	20.0	0	0	0	0	0	0	0	2.857142857142857	0	2.857142857142857	11.428571428571429	8.571428571428571	0	0	5.714285714285714	2.857142857142857	0	0	2.857142857142857	2.857142857142857	0	33.333333333333336	66.66666666666667	100.0	0.0	2.0	0	100.0	0	0
007.conllu	1	40	40.0	5.105263157894737	5.0	20.0	2.5	5.0	2.5	17.5	0	15.0	0	0	2.5	15.0	5.0	2.5	0	7.5	0	0.47368421052631576	0	0	66.66666666666667	33.333333333333336	0	0	100.0	0	33.333333333333336	0	0	66.66666666666667	0	100.0	0	0	0	0	0	0	100.0	0	0	50.0	50.0	100.0	0	0	0	0	0	0	0	0	100.0	3.0	100.0	2.6666666666666665	0	0	66.66666666666667	0	33.333333333333336	0	0	8.0	13.333333333333334	14.0	2.864864864864865	14	1.75	4	50.0	25.0	25.0	0	0	0.0	100.0	100.0	0.0	0	2.5	0	2.5	5.0	0	5.0	0	20.0	2.5	2.5	0	2.5	0	0	17.5	0	0	0	0	0	0	0	0	0	2.5	17.5	7.5	0	0	2.5	2.5	0	0	5.0	2.5	0	33.333333333333336	66.66666666666667	100.0	0.0	2.0	0	100.0	0	0
008.conllu	1	25	25.0	4.909090909090909	0	12.0	4.0	12.0	0	16.0	0	16.0	0	0	0	16.0	12.0	4.0	0	8.0	0	0.5	0	0	100.0	0	0	0	0	0	0	0	0	100.0	0	0	0	0	0	0	0	33.333333333333336	66.66666666666667	0	0	100.0	0	66.66666666666667	0	0	33.333333333333336	0	0	0	0	0	100.0	2.0	100.0	3.5	0	0	50.0	0	0	50.0	0	4.0	12.5	11.0	2.761904761904762	11	1.0	2	100.0	0	0	0	0	0	0	100.0	0.0	0	0	0	4.0	0	4.0	8.0	4.0	12.0	0	4.0	0	0	0	0	16.0	0	0	0	0	0	0	0	8.0	0	4.0	8.0	4.0	4.0	0	0	0	4.0	0	12.0	4.0	0	50.0	50.0	100.0	0.0	1.0	100.0	0	0	0
009.conllu	1	24	24.0	4.904761904761905	0	12.5	4.166666666666667	12.5	0	12.5	0	16.666666666666668	0	0	0	12.5	12.5	4.166666666666667	0	12.5	0	0.5238095238095238	0	0	66.66666666666667	33.333333333333336	0	0	100.0	0	33.333333333333336	0	0	66.66666666666667	0	0	0	0	100.0	0	0	33.333333333333336	66.66666666666667	0	0	100.0	0	66.66666666666667	0	0	33.333333333333336	0	0	0	0	0	100.0	3.0	100.0	3.0	0	33.333333333333336	0	33.333333333333336	0	33.333333333333336	0	5.0	8.0	7.0	2.6	7	1.0	2	100.0	0	0	0	0	0.0	100.0	100.0	0.0	0	0	0	4.166666666666667	0	0	8.333333333333334	4.166666666666667	12.5	0	4.166666666666667	0	4.166666666666667	0	0	12.5	0	0	0	0	0	0	0	4.166666666666667	0	4.166666666666667	8.333333333333334	4.166666666666667	4.166666666666667	0	4.166666666666667	0	4.166666666666667	0	12.5	4.166666666666667	0	50.0	50.0	100.0	0.0	1.0	100.0	0	0	0
